title,price_usd,date_posted,rooms,floor,total_floors,area_sqm,url
"Продаётся квартира 2/7/9 Мирзо-улугбекий район Улугбек посёлок",46000,2026-04-16,2,7,9,,https://www.olx.uz/d/obyavlenie/prodaetsya-kvartira-2-7-9-mirzo-ulugbekiy-rayon-ulugbek-poselok-ID4kDJo.html
"[O1]продается квартира 2/2/3 на Карасу 6",45000,2026-04-16,2,2,3,,https://www.olx.uz/d/obyavlenie/o1prodaetsya-kvartira-2-2-3-na-karasu-6-ID4lN0v.html
"Улугбек поселок набережная ! Продаётся квартира 2/2/4 малосемейка",45000,2026-04-16,2,2,4,,https://www.olx.uz/d/obyavlenie/ulugbek-poselok-naberezhnaya-prodaetsya-kvartira-2-2-4-malosemeyka-ID4gvpj.html
"Продается 1в2/3/4 на м-ве Феруза (Ориентир 221, 203 Школа)",46500,2026-04-16,2,3,4,,https://www.olx.uz/d/obyavlenie/prodaetsya-1v2-3-4-na-m-ve-feruza-orientir-221-203-shkola-ID4l1mP.html
"Продажа 2/2/4 Карасу-6",35000,2026-04-16,2,2,4,,https://www.olx.uz/d/obyavlenie/prodazha-2-2-4-karasu-6-ID4lLNx.html
"Продаётся 1в2/3/4 на м-в Феруза",46500,2026-04-16,2,3,4,,https://www.olx.uz/d/obyavlenie/prodaetsya-1v2-3-4-na-m-v-feruza-ID4l0C0.html
"Продам, ТТЗ-1, Ахмад Югнакий, 3/3/5, 77 серия, 63 М2 Балкон 2х6",60000,2026-04-15,3,3,5,63,https://www.olx.uz/d/obyavlenie/prodam-ttz-1-ahmad-yugnakiy-3-3-5-77-seriya-63-m2-balkon-2h6-ID4lfPe.html
"2/3/5 ТТЗ Ахмад Югнакий 60м2 балкон 2х6 №RM171",50000,2026-04-15,2,3,5,60,https://www.olx.uz/d/obyavlenie/2-3-5-ttz-ahmad-yugnakiy-60m2-balkon-2h6-rm171-ID4lfFH.html
"Ипотека Ттз-1 2в3/2/4 балкон 1.5*6 №84 Умида",56000,2026-04-15,3,2,4,,https://www.olx.uz/d/obyavlenie/ipoteka-ttz-1-2v3-2-4-balkon-1-56-84-umida-ID4kyXu.html
"Продается квартира, Феруза Согдиана, 1-2/3/4",47000,2026-04-15,2,3,4,,https://www.olx.uz/d/obyavlenie/prodaetsya-kvartira-feruza-sogdiana-1-2-3-4-ID4kyPp.html
"Продам 2/3/5 ТТЗ-1 Ахмад Югнаки",50000,2026-04-15,2,3,5,,https://www.olx.uz/d/obyavlenie/prodam-2-3-5-ttz-1-ahmad-yugnaki-ID4kyK8.html
"Продажа 2/3/5 ТТЗ ЭКО Базар Ахмад Югнаки №RM140",50000,2026-04-15,2,3,5,,https://www.olx.uz/d/obyavlenie/prodazha-2-3-5-ttz-eko-bazar-ahmad-yugnaki-rm140-ID4kyGn.html
"Продается 2/3/4 квартира на массиве ТТЗ-2 ориентир Навруз Базар",50000,2026-04-15,2,3,4,,https://www.olx.uz/d/obyavlenie/prodaetsya-2-3-4-kvartira-na-massive-ttz-2-orientir-navruz-bazar-ID4ky6i.html
"Продажа максим горький эко базар",50000,2026-04-16,2,2,4,42,https://www.olx.uz/d/obyavlenie/prodazha-maksim-gorkiy-eko-bazar-ID4lMIe.html
"Продается квартира БУЗ БАЗАЗР (21)",45000,2026-04-15,2,2,4,43,https://www.olx.uz/d/obyavlenie/prodaetsya-kvartira-buz-bazazr-21-ID4lK6H.html
"ТТЗ-2 2-комн, бывшее общежитие, 34м2",37000,2026-04-15,2,3,4,34,https://www.olx.uz/d/obyavlenie/ttz-2-2-komn-byvshee-obschezhitie-34m2-ID4kzjh.html
